size,density,graph_type,mst_algo,mean,median,stdev,min,max,count
10,0,matrix,prims,0.0007461791014065966,0.0007436455016431864,2.163725016323722e-05,0.0007181249966379255,0.0007859580000513233,10
10,0,matrix,kruskals,0.000997070701123448,0.0009906455015880056,2.9299569414604106e-05,0.0009649580024415627,0.00105516699841246,10
10,0,list,prims,0.0003380501002538949,0.00033666699891909957,5.326140483650143e-06,0.0003312089975224808,0.00034516600135248154,10
10,0,list,kruskals,0.0005394958985561971,0.0005358754970075097,1.258082486625508e-05,0.0005253749986877665,0.0005705410003429279,10
10,25,matrix,prims,0.0007782835004036315,0.0007698124973103404,1.909493283531813e-05,0.0007607090010424145,0.0008226249992731027,10
10,25,matrix,kruskals,0.0011211873999855016,0.0011268955022387672,2.1042719654613804e-05,0.001091500002075918,0.0011470829995232634,10
10,25,list,prims,0.00039650420076213776,0.0003955415013479069,1.0063472870810493e-05,0.00038254200626397505,0.0004115410047234036,10
10,25,list,kruskals,0.0007183083005656953,0.0007152085017878562,1.4599287407513879e-05,0.0006999580000410788,0.0007466249953722581,10
10,50,matrix,prims,0.0008029459015233443,0.0008032085024751723,8.355622506813064e-06,0.0007909589985501952,0.0008121249993564561,10
10,50,matrix,kruskals,0.001188654199359007,0.0011915624963876326,2.57483526104713e-05,0.0011547920003067702,0.001240707999386359,10
10,50,list,prims,0.000431999998545507,0.0004332289972808212,6.061156254506753e-06,0.00042216700239805505,0.0004391249967738986,10
10,50,list,kruskals,0.0008217789996706415,0.0008155204996000975,2.6014651995044382e-05,0.0007911249995231628,0.0008715419971849769,10
10,75,matrix,prims,0.000810737600113498,0.0008055415019043721,1.232338940519608e-05,0.0007986669952515513,0.0008344590023625642,10
10,75,matrix,kruskals,0.0012474586001189891,0.0012448964953364339,4.456535693667726e-05,0.0011832090021925978,0.0013455830048769712,10
10,75,list,prims,0.0004529083009401802,0.0004486874968279153,1.6271221521791315e-05,0.0004376249999040738,0.000495000000228174,10
10,75,list,kruskals,0.0008872374994098209,0.0008905419999791775,4.547607672928076e-05,0.0008180420045391656,0.0009677499983808957,10
10,100,matrix,prims,0.0008149748013238422,0.0008134170057019219,1.2357283899457119e-05,0.0007984580006450415,0.0008394160031457432,10
10,100,matrix,kruskals,0.001245654100785032,0.0012408119982865173,3.9626051907859124e-05,0.001192167001136113,0.001323250005953014,10
