size,density,graph_type,mst_algo,runtime
100,0,matrix,prims,4.854323250001471
100,0,matrix,prims,5.214974250004161
100,0,matrix,prims,4.984433167002862
100,0,matrix,prims,5.196586207996006
100,0,matrix,prims,5.474924541995279
100,0,matrix,prims,5.226571665996744
100,0,matrix,prims,5.251162124994153
100,0,matrix,prims,5.5840822079990176
100,0,matrix,prims,5.307327082999109
100,0,matrix,prims,5.274479915999109
100,0,matrix,kruskals,5.537594083005388
100,0,matrix,kruskals,5.285851499997079
100,0,matrix,kruskals,5.722712333001255
100,0,matrix,kruskals,5.863682916999096
100,0,matrix,kruskals,5.423941667002509
100,0,matrix,kruskals,5.293532250005228
100,0,matrix,kruskals,5.4253020839969395
100,0,matrix,kruskals,5.1710217090003425
100,0,matrix,kruskals,5.470530708997103
100,0,matrix,kruskals,5.259559459002048
100,0,list,prims,0.10691366600076435
100,0,list,prims,0.21045645900449017
100,0,list,prims,0.037242915997921955
100,0,list,prims,0.03705295799591113
100,0,list,prims,0.037100875000760425
100,0,list,prims,0.03828991699992912
100,0,list,prims,0.03718883300462039
100,0,list,prims,0.03719095899577951
100,0,list,prims,0.03701033400284359
100,0,list,prims,0.038105790998088196
100,0,list,kruskals,0.23408766600186937
100,0,list,kruskals,0.06074708300002385
100,0,list,kruskals,0.06128966699907323
100,0,list,kruskals,0.06389341699832585
100,0,list,kruskals,0.06181500000093365
100,0,list,kruskals,0.061145542000303976
100,0,list,kruskals,0.2306795839976985
100,0,list,kruskals,0.061964624997926876
100,0,list,kruskals,0.0622489159941324
100,0,list,kruskals,0.06106895900302334
100,25,matrix,prims,5.175314874999458
100,25,matrix,prims,5.398704459003056
100,25,matrix,prims,5.344260124998982
100,25,matrix,prims,5.019744208999327
100,25,matrix,prims,5.299398791998101
100,25,matrix,prims,5.0670549580027
100,25,matrix,prims,5.431537083997682
100,25,matrix,prims,5.001714083999104
100,25,matrix,prims,4.980018166999798
100,25,matrix,prims,5.274042040997301
100,25,matrix,kruskals,5.4603866250035935
100,25,matrix,kruskals,5.381313541998679
100,25,matrix,kruskals,5.955596958003298
100,25,matrix,kruskals,5.41398508400016
100,25,matrix,kruskals,5.777043458001572
100,25,matrix,kruskals,5.7139643330010585
100,25,matrix,kruskals,5.757893834001152
100,25,matrix,kruskals,6.2199521669972455
100,25,matrix,kruskals,6.027054707999923
100,25,matrix,kruskals,5.465012125001522
100,25,list,prims,0.1479936670002644
100,25,list,prims,0.047385749996465165
100,25,list,prims,0.04721745900315
100,25,list,prims,0.048120292005478404
100,25,list,prims,0.046647250004753005
100,25,list,prims,0.04673516700131586
100,25,list,prims,0.2200081670016516
100,25,list,prims,0.04659479100519093
100,25,list,prims,0.046818666996841785
100,25,list,prims,0.047609332999854814
100,25,list,kruskals,0.09178120800061151
100,25,list,kruskals,0.09102604199870257
100,25,list,kruskals,0.26533183400169946
100,25,list,kruskals,0.08999400000175228
100,25,list,kruskals,0.09091108300344786
100,25,list,kruskals,0.08961475000251085
100,25,list,kruskals,0.2665093329997035
100,25,list,kruskals,0.09249924999312498
100,25,list,kruskals,0.08987725000042701
100,25,list,kruskals,0.0911072079979931
100,50,matrix,prims,5.653021917001752
100,50,matrix,prims,6.166821499995422
100,50,matrix,prims,5.49137250000058
100,50,matrix,prims,5.449543166003423
100,50,matrix,prims,5.507870333996834
100,50,matrix,prims,6.034988291998161
