size,density,graph_type,mst_algo,mean,median,stdev,min,max,count
10,0,matrix,prims,0.0007163749003666453,0.0007136040003388189,1.3675540666173043e-05,0.0007006250016274862,0.0007515830002375878,10
10,0,matrix,kruskals,0.0009593123992090114,0.000959000000875676,1.57275156097044e-05,0.0009365410005557351,0.00098654099565465,10
10,0,list,prims,0.0003347416000906378,0.00033229149994440377,1.3852564725331131e-05,0.0003206249966751784,0.00035812499845633283,10
10,0,list,kruskals,0.0005235539996647276,0.000522833001014078,7.216349788574605e-06,0.0005123749942868017,0.0005342080039554276,10
10,25,matrix,prims,0.0007663542004593182,0.0007462290013791062,4.790766456732592e-05,0.0007264170053531416,0.0008625839982414618,10
10,25,matrix,kruskals,0.0011001374004990794,0.001100042001780821,2.593455958347024e-05,0.0010562500028754584,0.0011437909997766837,10
10,25,list,prims,0.0003858627002045978,0.000383542002964532,1.1081088129799634e-05,0.00037620800139848143,0.00041429200064158067,10
10,25,list,kruskals,0.0006938080994586926,0.0006972290029807482,2.203207966617602e-05,0.0006555829968419857,0.000721415999578312,10
10,50,matrix,prims,0.0007770498988975306,0.0007669994993193541,2.635715249937727e-05,0.0007508749986300245,0.0008321669956785627,10
10,50,matrix,kruskals,0.001179341700481018,0.0011628329957602546,6.802721386498139e-05,0.0011092920030932873,0.0013002920022699982,10
10,50,list,prims,0.0004147957995883189,0.0004153749941906426,8.000427922710251e-06,0.00040358300611842424,0.0004288339987397194,10
10,50,list,kruskals,0.0007792042000801302,0.0007667915015190374,2.365958655281931e-05,0.0007531250012107193,0.0008142080041579902,10
10,75,matrix,prims,0.0007755458020255901,0.0007720414978393819,1.4884286476431385e-05,0.0007607920051668771,0.0008046670045587234,10
10,75,matrix,kruskals,0.0012027083997963929,0.0011989795020781457,4.438639497438274e-05,0.0011367499973857775,0.0012758340017171577,10
10,75,list,prims,0.0004458082999917679,0.00044322900066617876,1.9517380924845323e-05,0.00042479099647607654,0.00048558299749856815,10
10,75,list,kruskals,0.0008685041015269235,0.0008655205019749701,5.678117679636286e-05,0.0007865839943406172,0.0009610000051907264,10
10,100,matrix,prims,0.0007760792985209263,0.0007784164990880527,1.106180003079383e-05,0.0007594159978907555,0.0007981249946169555,10
10,100,matrix,kruskals,0.0012097916987841018,0.0012071045021002647,2.5356081177637928e-05,0.0011732080020010471,0.0012435419994289987,10
10,100,list,prims,0.0004386460990644991,0.00043795899910037406,5.221225107043767e-06,0.000429540996265132,0.0004459589981706813,10
10,100,list,kruskals,0.0008743584992771502,0.0008583749986428302,4.132985419529763e-05,0.0008270419930340722,0.0009597500029485673,10
20,0,matrix,prims,0.00868008760153316,0.008673458502016729,0.00010249046919604907,0.008571042002586182,0.008815959001367446,10
20,0,matrix,kruskals,0.010288929001399083,0.009747416501340922,0.0014584033193668735,0.00959625000541564,0.014368916003149934,10
20,0,list,prims,0.0014249331994506064,0.001416521001374349,3.508845913851896e-05,0.0013903330036555417,0.001508541994553525,10
20,0,list,kruskals,0.0021632834999763873,0.0021479374991031364,3.408364382080716e-05,0.002133249996404629,0.00222724999912316,10
20,25,matrix,prims,0.009015520700631895,0.009022104000905529,6.821569860815991e-05,0.00893187500332715,0.009131165999860968,10
20,25,matrix,kruskals,0.010461187501641689,0.010445749499922385,0.00010879430777020102,0.010344041002099402,0.010662291002518032,10
20,25,list,prims,0.0016840332995343489,0.0016835204987728503,1.0308907221255045e-05,0.001668416996835731,0.0016995840051095001,10
20,25,list,kruskals,0.003057808399898931,0.003050833500310546,9.851325480250544e-05,0.0029275839988258667,0.003240582998842001,10
20,50,matrix,prims,0.009102141699986532,0.00909731250067125,9.905721358006564e-05,0.00897508400521474,0.009323457998107187,10
20,50,matrix,kruskals,0.010929879299510503,0.010872916998778237,0.00020776225816579008,0.010696541998186149,0.01131349999923259,10
20,50,list,prims,0.0018593081993458326,0.001850312499300344,2.9477830896213987e-05,0.0018262500016135164,0.0019263329959358089,10
20,50,list,kruskals,0.003579449901008047,0.0035687710042111576,0.00015078866929497836,0.003298042000096757,0.0039039170005708,10
20,75,matrix,prims,0.009232074698957149,0.009234020999429049,8.988012673188584e-05,0.009093290995224379,0.00937904100283049,10
20,75,matrix,kruskals,0.011223416800203268,0.011170458499691449,0.0003194859848210197,0.010911582998232916,0.011995458000455983,10
20,75,list,prims,0.00198595410111011,0.001975145503820386,4.7136064004614614e-05,0.0019150420048390515,0.0020524999999906868,10
20,75,list,kruskals,0.00376202470069984,0.0037674789964512456,0.00011946254941385111,0.003602959004638251,0.003956915999879129,10
20,100,matrix,prims,0.009281583198753652,0.009280416496039834,8.30225437320414e-05,0.009124834003159776,0.009426541997527238,10
20,100,matrix,kruskals,0.011271583300549537,0.01131106200045906,0.0001291026264664741,0.011023833001672756,0.011401167001167778,10
20,100,list,prims,0.0019730418011022267,0.0019748965023609344,1.7932849630936502e-05,0.0019471670020720921,0.0020040830058860593,10
20,100,list,kruskals,0.003955220901116263,0.003965270505432272,0.00010839593286096267,0.0037889169980189763,0.00409758400201099,10
50,0,matrix,prims,0.3354778790999262,0.3259493539990217,0.027700659079764964,0.3121179160007159,0.40379558299900964,10
50,0,matrix,kruskals,0.3508719457015104,0.33891966650116956,0.03593014513234722,0.3334688750037458,0.4517446660029236,10
50,0,list,prims,0.0175549001993204,0.01385154199670069,0.00633567504502715,0.013062458994681947,0.028440083005989436,10
50,0,list,kruskals,0.016148308400443057,0.015121021002414636,0.0029427499497049602,0.014245332997234073,0.023867333999078255,10
50,25,matrix,prims,0.3287176669015025,0.3248329165035102,0.014328205674290311,0.31657716700283345,0.36592454200581415,10
