size,density,graph_type,mst_algo,runtime
10,100,list,prims,0.00045075
10,100,list,prims,0.000485167
10,100,list,prims,0.000467916
10,100,list,kruskals,0.000986667
10,100,list,kruskals,0.000818709
10,100,list,kruskals,0.000813666
10,100,list,kruskals,0.000859584
10,100,list,kruskals,0.000874208
10,100,list,kruskals,0.0009285
10,100,list,kruskals,0.000903542
10,100,list,kruskals,0.000913041
10,100,list,kruskals,0.000864416
10,100,list,kruskals,0.000879084
20,0,matrix,prims,0.009202459
20,0,matrix,prims,0.009323834
20,0,matrix,prims,0.009054375
20,0,matrix,prims,0.009124041
20,0,matrix,prims,0.009196833
20,0,matrix,prims,0.009118042
20,0,matrix,prims,0.009028625
20,0,matrix,prims,0.009147125
20,0,matrix,prims,0.009060792
20,0,matrix,prims,0.009161792
20,0,matrix,kruskals,0.010661125001206528
20,0,matrix,kruskals,0.0099075
20,0,matrix,kruskals,0.00995375
20,0,matrix,kruskals,0.009980416
20,0,matrix,kruskals,0.010002540999266785
20,0,matrix,kruskals,0.009989667
20,0,matrix,kruskals,0.010008417
20,0,matrix,kruskals,0.010314708000805695
20,0,matrix,kruskals,0.010117666999576613
20,0,matrix,kruskals,0.009913583
20,0,list,prims,0.001471167
20,0,list,prims,0.001355333
20,0,list,prims,0.001339584
20,0,list,prims,0.001357417
20,0,list,prims,0.001417875
20,0,list,prims,0.001256083
20,0,list,prims,0.001329917
20,0,list,prims,0.001368209
20,0,list,prims,0.001353625
20,0,list,prims,0.001322958
20,0,list,kruskals,0.002216125
20,0,list,kruskals,0.002207375
20,0,list,kruskals,0.002338791
20,0,list,kruskals,0.002199792
20,0,list,kruskals,0.00221175
20,0,list,kruskals,0.002196542
20,0,list,kruskals,0.002169916
20,0,list,kruskals,0.002223083
20,0,list,kruskals,0.002290333
20,0,list,kruskals,0.002177166
20,25,matrix,prims,0.009509583
20,25,matrix,prims,0.009436083
20,25,matrix,prims,0.009195791
20,25,matrix,prims,0.009223416
20,25,matrix,prims,0.009097666
20,25,matrix,prims,0.0093185
20,25,matrix,prims,0.009141167
20,25,matrix,prims,0.009220125
20,25,matrix,prims,0.009213833
20,25,matrix,prims,0.009156917
20,25,matrix,kruskals,0.010589707999315578
20,25,matrix,kruskals,0.010731583002780098
20,25,matrix,kruskals,0.010622833993693348
20,25,matrix,kruskals,0.010559583
20,25,matrix,kruskals,0.010682375002943445
20,25,matrix,kruskals,0.010548083002504427
20,25,matrix,kruskals,0.010680915998818818
