size,density,graph_type,mst_algo,maze_num,runtime
10,75,matrix,kruskals,0,0.0012077499995939434
10,75,list,prims,0,0.0004487080004764721
10,75,list,kruskals,0,0.0008757500036153942
10,75,matrix,prims,1,0.0007621659970027395
10,75,matrix,kruskals,1,0.0012012920051347464
10,75,list,prims,1,0.0004284169990569353
10,75,list,kruskals,1,0.0008399579965043813
10,75,matrix,prims,2,0.0007567080028820783
10,75,matrix,kruskals,2,0.0012077919964212924
10,75,list,prims,2,0.00043391699728090316
10,75,list,kruskals,2,0.0008442499965894967
10,75,matrix,prims,3,0.0007719999994151294
10,75,matrix,kruskals,3,0.00120749999769032
10,75,list,prims,3,0.00043575000017881393
10,75,list,kruskals,3,0.0009065420017577708
10,75,matrix,prims,4,0.000755208995542489
10,75,matrix,kruskals,4,0.0012192919966764748
10,75,list,prims,4,0.00045287499960977584
10,75,list,kruskals,4,0.000870541000040248
10,75,matrix,prims,5,0.0007967499986989424
10,75,matrix,kruskals,5,0.0012395000012475066
10,75,list,prims,5,0.0004239160043653101
10,75,list,kruskals,5,0.0008743750004214235
10,75,matrix,prims,6,0.0007657909955014475
10,75,matrix,kruskals,6,0.001188707996334415
10,75,list,prims,6,0.0004449580010259524
10,75,list,kruskals,6,0.0008318750042235479
10,75,matrix,prims,7,0.0007679169939365238
10,75,matrix,kruskals,7,0.0012036249972879887
10,75,list,prims,7,0.00042733400186989456
10,75,list,kruskals,7,0.000855332997161895
10,75,matrix,prims,8,0.0007746250048512593
10,75,matrix,kruskals,8,0.0011995829991064966
10,75,list,prims,8,0.0004508339989115484
10,75,list,kruskals,8,0.0008355829995707609
10,75,matrix,prims,9,0.0007836250006221235
10,75,matrix,kruskals,9,0.0012059169966960326
10,75,list,prims,9,0.00043899999582208693
10,75,list,kruskals,9,0.0008525000012014061
10,100,matrix,prims,0,0.0008279169996967539
10,100,matrix,kruskals,0,0.0012547090009320527
10,100,list,prims,0,0.0004427499952726066
10,100,list,kruskals,0,0.000979790995188523
10,100,matrix,prims,1,0.0007957080015330575
10,100,matrix,kruskals,1,0.0012416249956004322
10,100,list,prims,1,0.0004588750016409904
10,100,list,kruskals,1,0.0009123330019065179
10,100,matrix,prims,2,0.0007718750057392754
10,100,matrix,kruskals,2,0.0012544999990495853
10,100,list,prims,2,0.00046820900024613366
10,100,list,kruskals,2,0.0009480840017204173
10,100,matrix,prims,3,0.000767707999330014
10,100,matrix,kruskals,3,0.0012602909991983324
10,100,list,prims,3,0.00044370900286594406
10,100,list,kruskals,3,0.0009373749999213032
10,100,matrix,prims,4,0.0007908330007921904
10,100,matrix,kruskals,4,0.0011716669978341088
10,100,list,prims,4,0.00045908300671726465
10,100,list,kruskals,4,0.0008172080051735975
10,100,matrix,prims,5,0.0007666250021429732
10,100,matrix,kruskals,5,0.0012475420007831417
10,100,list,prims,5,0.0004509169957600534
10,100,list,kruskals,5,0.0009137500019278377
10,100,matrix,prims,6,0.0007673750005778857
10,100,matrix,kruskals,6,0.0012052919992129318
10,100,list,prims,6,0.0004442919962457381
10,100,list,kruskals,6,0.0008545830060029402
10,100,matrix,prims,7,0.0007718749984633178
10,100,matrix,kruskals,7,0.0011732909988495521
10,100,list,prims,7,0.00044579200039152056
10,100,list,kruskals,7,0.0008096669989754446
10,100,matrix,prims,8,0.0007584999984828755
10,100,matrix,kruskals,8,0.0011622500023804605
10,100,list,prims,8,0.00044054199679521844
10,100,list,kruskals,8,0.000826165996841155
10,100,matrix,prims,9,0.0007682909999857657
10,100,matrix,kruskals,9,0.0012767910011461936
10,100,list,prims,9,0.0004537090062513016
10,100,list,kruskals,9,0.0008845000047585927
20,0,matrix,prims,0,0.010281792005116586
20,0,matrix,kruskals,0,0.010435417003463954
20,0,list,prims,0,0.0014305000004242174
20,0,list,kruskals,0,0.0022489999973913655
20,0,matrix,prims,1,0.00927504100400256
20,0,matrix,kruskals,1,0.009863625004072674
20,0,list,prims,1,0.0014128749971860088
20,0,list,kruskals,1,0.002294665995577816
20,0,matrix,prims,2,0.008662667001772206
20,0,matrix,kruskals,2,0.01001199999882374
20,0,list,prims,2,0.001453291995858308
20,0,list,kruskals,2,0.0022416249994421378
20,0,matrix,prims,3,0.008728750006412156
20,0,matrix,kruskals,3,0.009673749998910353
20,0,list,prims,3,0.0014245829952415079
20,0,list,kruskals,3,0.0021463330049300566
20,0,matrix,prims,4,0.008655750003526919
20,0,matrix,kruskals,4,0.009699375004856847
20,0,list,prims,4,0.001411375000316184
20,0,list,kruskals,4,0.0021506249977392145
20,0,matrix,prims,5,0.008527917001629248
20,0,matrix,kruskals,5,0.009591875001206063
20,0,list,prims,5,0.0014120420019025914
20,0,list,kruskals,5,0.0021591659969999455
20,0,matrix,prims,6,0.008549459002097137
20,0,matrix,kruskals,6,0.009611791007046122
20,0,list,prims,6,0.0014178339988575317
20,0,list,kruskals,6,0.0021462909935507923
20,0,matrix,prims,7,0.008547374993213452
20,0,matrix,kruskals,7,0.00959816700196825
20,0,list,prims,7,0.0014345829986268654
20,0,list,kruskals,7,0.002182291995268315
20,0,matrix,prims,8,0.00856345799547853
20,0,matrix,kruskals,8,0.009613542002625763
20,0,list,prims,8,0.0014107499955571257
20,0,list,kruskals,8,0.0021584580026683398
20,0,matrix,prims,9,0.008576583000831306
20,0,matrix,kruskals,9,0.009742624999489635
20,0,list,prims,9,0.0014107919996604323
20,0,list,kruskals,9,0.002171583997551352
20,25,matrix,prims,0,0.00893629199708812
20,25,matrix,kruskals,0,0.010239457995339762
20,25,list,prims,0,0.001676082996709738
20,25,list,kruskals,0,0.0032228330019279383
20,25,matrix,prims,1,0.009001208003610373
20,25,matrix,kruskals,1,0.010340250002627727
20,25,list,prims,1,0.0016889159960555844
20,25,list,kruskals,1,0.0030232499993871897
20,25,matrix,prims,2,0.008830334001686424
20,25,matrix,kruskals,2,0.010448791996168438
20,25,list,prims,2,0.0016944160015555099
20,25,list,kruskals,2,0.003069458995014429
20,25,matrix,prims,3,0.008770583001023624
20,25,matrix,kruskals,3,0.010566999997536186
20,25,list,prims,3,0.001745624998875428
20,25,list,kruskals,3,0.002922040999692399
20,25,matrix,prims,4,0.008691584000189323
20,25,matrix,kruskals,4,0.010376500002166722
20,25,list,prims,4,0.0016740840001148172
20,25,list,kruskals,4,0.0029647920018760487
