size,density,graph_type,mst_algo,runtime
0,0,matrix,prims,0.024761199951171875
0,0,matrix,prims,0.021013736724853516
0,0,matrix,prims,0.02125382423400879
0,0,matrix,prims,0.020864009857177734
0,0,matrix,prims,0.023345947265625
0,0,matrix,prims,0.02156209945678711
0,0,matrix,prims,0.021585702896118164
0,0,matrix,prims,0.021226167678833008
0,0,matrix,prims,0.020956993103027344
0,0,matrix,prims,0.021332979202270508
0,0,matrix,kruskals,0.021587848663330078
0,0,matrix,kruskals,0.02092123031616211
0,0,matrix,kruskals,0.021352291107177734
0,0,matrix,kruskals,0.02139902114868164
0,0,matrix,kruskals,0.02085399627685547
0,0,matrix,kruskals,0.021220922470092773
0,0,matrix,kruskals,0.02090001106262207
0,0,matrix,kruskals,0.021575927734375
0,0,matrix,kruskals,0.02156209945678711
0,0,matrix,kruskals,0.02074909210205078
0,0,list,prims,0.021137714385986328
0,0,list,prims,0.021767854690551758
0,0,list,prims,0.020933866500854492
0,0,list,prims,0.021687030792236328
0,0,list,prims,0.02111506462097168
0,0,list,prims,0.021196842193603516
0,0,list,prims,0.02153301239013672
0,0,list,prims,0.02153301239013672
0,0,list,prims,0.023012876510620117
0,0,list,prims,0.021652936935424805
0,0,list,kruskals,0.021700143814086914
0,0,list,kruskals,0.021112918853759766
0,0,list,kruskals,0.021702051162719727
0,0,list,kruskals,0.021322965621948242
0,0,list,kruskals,0.02096390724182129
0,0,list,kruskals,0.020846843719482422
0,0,list,kruskals,0.0212860107421875
0,0,list,kruskals,0.021145105361938477
0,0,list,kruskals,0.021212100982666016
0,0,list,kruskals,0.020851850509643555
0,25,matrix,prims,0.0208890438079834
0,25,matrix,prims,0.021767139434814453
0,25,matrix,prims,0.022291898727416992
0,25,matrix,prims,0.0214841365814209
0,25,matrix,prims,0.02087688446044922
0,25,matrix,prims,0.02096724510192871
0,25,matrix,prims,0.02132105827331543
0,25,matrix,prims,0.021630048751831055
0,25,matrix,prims,0.021715164184570312
0,25,matrix,prims,0.020720720291137695
0,25,matrix,kruskals,0.02083611488342285
0,25,matrix,kruskals,0.021493911743164062
0,25,matrix,kruskals,0.023208141326904297
0,25,matrix,kruskals,0.021647930145263672
0,25,matrix,kruskals,0.021630048751831055
0,25,matrix,kruskals,0.021025896072387695
0,25,matrix,kruskals,0.02162003517150879
0,25,matrix,kruskals,0.02112102508544922
0,25,matrix,kruskals,0.02090764045715332
0,25,matrix,kruskals,0.021398067474365234
0,25,list,prims,0.021485090255737305
0,25,list,prims,0.021576881408691406
0,25,list,prims,0.021287202835083008
0,25,list,prims,0.021167993545532227
0,25,list,prims,0.021036863327026367
0,25,list,prims,0.021172046661376953
0,25,list,prims,0.02173304557800293
0,25,list,prims,0.021587848663330078
0,25,list,prims,0.02176523208618164
0,25,list,prims,0.020489931106567383
0,25,list,kruskals,0.021489858627319336
0,25,list,kruskals,0.021101713180541992
0,25,list,kruskals,0.020843029022216797
0,25,list,kruskals,0.02108907699584961
0,25,list,kruskals,0.021036148071289062
0,25,list,kruskals,0.02144002914428711
0,25,list,kruskals,0.023085832595825195
0,25,list,kruskals,0.021005868911743164
0,25,list,kruskals,0.02074885368347168
0,25,list,kruskals,0.021651029586791992
0,50,matrix,prims,0.021596193313598633
0,50,matrix,prims,0.020778179168701172
0,50,matrix,prims,0.02158808708190918
0,50,matrix,prims,0.0215909481048584
0,50,matrix,prims,0.021763086318969727
0,50,matrix,prims,0.021525144577026367
0,50,matrix,prims,0.021310806274414062
0,50,matrix,prims,0.021686077117919922
0,50,matrix,prims,0.021138906478881836
0,50,matrix,prims,0.021125078201293945
0,50,matrix,kruskals,0.021229028701782227
0,50,matrix,kruskals,0.02115011215209961
0,50,matrix,kruskals,0.021476030349731445
0,50,matrix,kruskals,0.020657062530517578
0,50,matrix,kruskals,0.021078109741210938
0,50,matrix,kruskals,0.020927906036376953
0,50,matrix,kruskals,0.02130889892578125
0,50,matrix,kruskals,0.02167201042175293
0,50,matrix,kruskals,0.02072596549987793
0,50,matrix,kruskals,0.020938873291015625
0,50,list,prims,0.022387981414794922
0,50,list,prims,0.021118879318237305
0,50,list,prims,0.021058082580566406
0,50,list,prims,0.02111506462097168
0,50,list,prims,0.021520137786865234
0,50,list,prims,0.021712064743041992
0,50,list,prims,0.021542072296142578
0,50,list,prims,0.021027088165283203
0,50,list,prims,0.02154707908630371
0,50,list,prims,0.021223068237304688
0,50,list,kruskals,0.021346092224121094
0,50,list,kruskals,0.020749807357788086
0,50,list,kruskals,0.02150869369506836
