size,density,graph_type,mst_algo,maze_num,runtime
10,75,matrix,kruskals,0,0.001270250002562534
10,75,list,prims,0,0.000495000000228174
10,75,list,kruskals,0,0.0009142499984591268
10,75,matrix,prims,1,0.0008344590023625642
10,75,matrix,kruskals,1,0.0012304169940762222
10,75,list,prims,1,0.0004376249999040738
10,75,list,kruskals,1,0.0008705000000190921
10,75,matrix,prims,2,0.0007986669952515513
10,75,matrix,kruskals,2,0.001229417001013644
10,75,list,prims,2,0.00045975000102771446
10,75,list,kruskals,2,0.0008714159994269721
10,75,matrix,prims,3,0.0008313750004163012
10,75,matrix,kruskals,3,0.0012530000021797605
10,75,list,prims,3,0.00045662500633625314
10,75,list,kruskals,3,0.0009038749994942918
10,75,matrix,prims,4,0.0008033330013859086
10,75,matrix,kruskals,4,0.0012480839941417798
10,75,list,prims,4,0.0004464579978957772
10,75,list,kruskals,4,0.0008772090004640631
10,75,matrix,prims,5,0.0008060000036493875
10,75,matrix,kruskals,5,0.001241708996531088
10,75,list,prims,5,0.0004436250019352883
10,75,list,kruskals,5,0.0009677499983808957
10,75,matrix,prims,6,0.0008125419990392402
10,75,matrix,kruskals,6,0.0011832090021925978
10,75,list,prims,6,0.00044270800572121516
10,75,list,kruskals,6,0.0008180420045391656
10,75,matrix,prims,7,0.0008050830001593567
10,75,matrix,kruskals,7,0.001199874997837469
10,75,list,prims,7,0.0004439160038600676
10,75,list,kruskals,7,0.000822165995487012
10,75,matrix,prims,8,0.0008097500030999072
10,75,matrix,kruskals,8,0.0013455830048769712
10,75,list,prims,8,0.0004509169957600534
10,75,list,kruskals,8,0.0009071669992408715
10,75,matrix,prims,9,0.0008021249959710985
10,75,matrix,kruskals,9,0.0012730420057778247
10,75,list,prims,9,0.0004524589967331849
10,75,list,kruskals,9,0.000919999998586718
10,100,matrix,prims,0,0.0008223749973694794
10,100,matrix,kruskals,0,0.0012683329987339675
10,100,list,prims,0,0.00045775000035064295
10,100,list,kruskals,0,0.0009107079968089238
10,100,matrix,prims,1,0.0008134170057019219
10,100,matrix,kruskals,1,0.0012835829984396696
10,100,list,prims,1,0.0004542090027825907
10,100,list,kruskals,1,0.000941999998758547
10,100,matrix,prims,2,0.0008186670020222664
10,100,matrix,kruskals,2,0.0012575000000651926
10,100,list,prims,2,0.0004580839959089644
10,100,list,kruskals,2,0.0009115420034504496
10,100,matrix,prims,3,0.0008114160009426996
10,100,matrix,kruskals,3,0.0012391659984132275
10,100,list,prims,3,0.00045291599963093176
10,100,list,kruskals,3,0.0008597919950261712
10,100,matrix,prims,4,0.0008262909977929667
10,100,matrix,kruskals,4,0.001217292003275361
10,100,list,prims,4,0.00045291599963093176
10,100,list,kruskals,4,0.0008715409931028262
10,100,matrix,prims,5,0.0007984580006450415
10,100,matrix,kruskals,5,0.0012424579981598072
10,100,list,prims,5,0.0004518329951679334
10,100,list,kruskals,5,0.000978791998932138
10,100,matrix,prims,6,0.0008008750010048971
10,100,matrix,kruskals,6,0.0012335420033195987
10,100,list,prims,6,0.00045212500117486343
10,100,list,kruskals,6,0.000876499994774349
10,100,matrix,prims,7,0.0008134170057019219
10,100,matrix,kruskals,7,0.001192167001136113
10,100,list,prims,7,0.00045279199548531324
10,100,list,kruskals,7,0.0008473749985569157
10,100,matrix,prims,8,0.0008394160031457432
10,100,matrix,kruskals,8,0.001323250005953014
10,100,list,prims,8,0.0004671669958042912
10,100,list,kruskals,8,0.0009136670050793327
10,100,matrix,prims,9,0.0008054159989114851
10,100,matrix,kruskals,9,0.0011992500003543682
10,100,list,prims,9,0.00045095800305716693
10,100,list,kruskals,9,0.0008398339996347204
20,0,matrix,prims,0,0.008968290996563155
20,0,matrix,kruskals,0,0.010044750000815839
20,0,list,prims,0,0.0014727079978911206
20,0,list,kruskals,0,0.0022859169985167682
20,0,matrix,prims,1,0.008939416002249345
20,0,matrix,kruskals,1,0.010019667002779897
20,0,list,prims,1,0.0014557090034941211
20,0,list,kruskals,1,0.0021887499970034696
20,0,matrix,prims,2,0.008918459003325552
20,0,matrix,kruskals,2,0.00994366700615501
20,0,list,prims,2,0.001464041997678578
20,0,list,kruskals,2,0.002206375000241678
20,0,matrix,prims,3,0.008897874999092892
20,0,matrix,kruskals,3,0.010003458002756815
20,0,list,prims,3,0.0014587910045520402
20,0,list,kruskals,3,0.002216832996055018
20,0,matrix,prims,4,0.008878500004357193
20,0,matrix,kruskals,4,0.010057833002065308
20,0,list,prims,4,0.001455791003536433
20,0,list,kruskals,4,0.0022241250044316985
20,0,matrix,prims,5,0.008984499996586237
20,0,matrix,kruskals,5,0.01005158299813047
20,0,list,prims,5,0.0014742079947609454
20,0,list,kruskals,5,0.0022088330006226897
20,0,matrix,prims,6,0.008826041004795115
20,0,matrix,kruskals,6,0.010023125003499445
20,0,list,prims,6,0.0014475420030066743
20,0,list,kruskals,6,0.002209958001913037
20,0,matrix,prims,7,0.00891691599827027
20,0,matrix,kruskals,7,0.010047167001175694
20,0,list,prims,7,0.0014589579950552434
20,0,list,kruskals,7,0.002218833993538283
20,0,matrix,prims,8,0.008799084003840107
20,0,matrix,kruskals,8,0.010002875002101064
20,0,list,prims,8,0.0014451250026468188
20,0,list,kruskals,8,0.0022152910023578443
20,0,matrix,prims,9,0.008836667002469767
20,0,matrix,kruskals,9,0.009944959005224518
20,0,list,prims,9,0.001459040999179706
20,0,list,kruskals,9,0.002193000000261236
20,25,matrix,prims,0,0.009068624996871222
20,25,matrix,kruskals,0,0.010807750004460104
20,25,list,prims,0,0.0017401250006514601
20,25,list,kruskals,0,0.0030962499949964695
20,25,matrix,prims,1,0.009250666997104418
20,25,matrix,kruskals,1,0.01078212499851361
20,25,list,prims,1,0.0017466249992139637
20,25,list,kruskals,1,0.00314408299891511
20,25,matrix,prims,2,0.009144458002992906
20,25,matrix,kruskals,2,0.010713750001741573
20,25,list,prims,2,0.0017415840047760867
20,25,list,kruskals,2,0.0030790840028203093
20,25,matrix,prims,3,0.009137374996498693
20,25,matrix,kruskals,3,0.010834459004399832
20,25,list,prims,3,0.0017390840002917685
20,25,list,kruskals,3,0.0031615839980077
20,25,matrix,prims,4,0.009255291995941661
20,25,matrix,kruskals,4,0.010729749999882188
20,25,list,prims,4,0.001746792004269082
20,25,list,kruskals,4,0.0030619579993071966
20,25,matrix,prims,5,0.00913241699890932
20,25,matrix,kruskals,5,0.010793708999699447
20,25,list,prims,5,0.001708832998701837
20,25,list,kruskals,5,0.0030905840030754916
20,25,matrix,prims,6,0.009159917004581075
20,25,matrix,kruskals,6,0.010778458999993745
20,25,list,prims,6,0.0017355000018142164
20,25,list,kruskals,6,0.0030397919981624
20,25,matrix,prims,7,0.009153958002571017
20,25,matrix,kruskals,7,0.010792499997478444
20,25,list,prims,7,0.0017337090030196123
20,25,list,kruskals,7,0.003128625001409091
20,25,matrix,prims,8,0.009075208996364381
20,25,matrix,kruskals,8,0.010803208999277558
20,25,list,prims,8,0.0017234160040970892
20,25,list,kruskals,8,0.0031225839993567206
20,25,matrix,prims,9,0.009218500003044028
20,25,matrix,kruskals,9,0.010859709000214934
20,25,list,prims,9,0.0017478750014561228
20,25,list,kruskals,9,0.0031401669984916225
20,50,matrix,prims,0,0.009264708001865074
20,50,matrix,kruskals,0,0.011013417002686765
20,50,list,prims,0,0.0019008750023203902
20,50,list,kruskals,0,0.00342287500097882
20,50,matrix,prims,1,0.009329000000434462
20,50,matrix,kruskals,1,0.011083041994425002
20,50,list,prims,1,0.001895665998745244
20,50,list,kruskals,1,0.0035861249998561107
20,50,matrix,prims,2,0.009292750000895467
20,50,matrix,kruskals,2,0.011222124994674232
20,50,list,prims,2,0.0019035419973079115
20,50,list,kruskals,2,0.0036455410008784384
20,50,matrix,prims,3,0.009318208001786843
20,50,matrix,kruskals,3,0.011057458003051579
20,50,list,prims,3,0.0018876670001191087
20,50,list,kruskals,3,0.003436833001615014
20,50,matrix,prims,4,0.00935804199980339
20,50,matrix,kruskals,4,0.011218332998396363
20,50,list,prims,4,0.0018922500021290034
20,50,list,kruskals,4,0.0035385000010137446
20,50,matrix,prims,5,0.009411416001967154
20,50,matrix,kruskals,5,0.011286666995147243
20,50,list,prims,5,0.0018954999977722764
20,50,list,kruskals,5,0.0036488750047283247
20,50,matrix,prims,6,0.00929004200588679
20,50,matrix,kruskals,6,0.011264749999099877
20,50,list,prims,6,0.0019007919981959276
20,50,list,kruskals,6,0.0036185420030960813
20,50,matrix,prims,7,0.00930858300125692
20,50,matrix,kruskals,7,0.011234291996515822
20,50,list,prims,7,0.0019185419951099902
20,50,list,kruskals,7,0.0036536249972414225
20,50,matrix,prims,8,0.009325500002887566
20,50,matrix,kruskals,8,0.011184125003637746
20,50,list,prims,8,0.0019077920005656779
20,50,list,kruskals,8,0.0035145830042893067
20,50,matrix,prims,9,0.009406166995177045
20,50,matrix,kruskals,9,0.011653625006147195
20,50,list,prims,9,0.0019372909955563955
20,50,list,kruskals,9,0.0038077499993960373
20,75,matrix,prims,0,0.009794416000659112
20,75,matrix,kruskals,0,0.011782749999838416
20,75,list,prims,0,0.0019963330050813965
20,75,list,kruskals,0,0.003946458004065789
20,75,matrix,prims,1,0.009684124997875188
20,75,matrix,kruskals,1,0.011795542006439064
20,75,list,prims,1,0.002001542001380585
20,75,list,kruskals,1,0.003924208001990337
20,75,matrix,prims,2,0.00973083300050348
20,75,matrix,kruskals,2,0.011822792002931237
20,75,list,prims,2,0.0020027499995194376
20,75,list,kruskals,2,0.003993375001300592
20,75,matrix,prims,3,0.009671541003626771
20,75,matrix,kruskals,3,0.012248292005097028
20,75,list,prims,3,0.0021931250012130477
20,75,list,kruskals,3,0.0042192089968011715
20,75,matrix,prims,4,0.009477332998358179
20,75,matrix,kruskals,4,0.011377916001947597
20,75,list,prims,4,0.001988249998248648
20,75,list,kruskals,4,0.003673708997666836
20,75,matrix,prims,5,0.00945737499569077
20,75,matrix,kruskals,5,0.011559665996173862
20,75,list,prims,5,0.0020624160024453886
20,75,list,kruskals,5,0.004019499996502418
20,75,matrix,prims,6,0.009402374998899177
20,75,matrix,kruskals,6,0.01121525000053225
20,75,list,prims,6,0.0019870000032824464
20,75,list,kruskals,6,0.003637709000031464
20,75,matrix,prims,7,0.009457625004870351
20,75,matrix,kruskals,7,0.011439250003604684
20,75,list,prims,7,0.0020363330040709116
20,75,list,kruskals,7,0.003849958004138898
20,75,matrix,prims,8,0.009285499996622093
20,75,matrix,kruskals,8,0.0113651249994291
20,75,list,prims,8,0.002007875002163928
20,75,list,kruskals,8,0.004012042001704685
20,75,matrix,prims,9,0.009740125002281275
20,75,matrix,kruskals,9,0.01138695799454581
20,75,list,prims,9,0.00198133300000336
20,75,list,kruskals,9,0.0038039999999455176
20,100,matrix,prims,0,0.00967970799683826
20,100,matrix,kruskals,0,0.01143904199852841
20,100,list,prims,0,0.002006666996749118
20,100,list,kruskals,0,0.0038872079967404716
20,100,matrix,prims,1,0.009630374996049795
20,100,matrix,kruskals,1,0.01151679100439651
20,100,list,prims,1,0.00201470799947856
20,100,list,kruskals,1,0.003944875003071502
20,100,matrix,prims,2,0.009378792005009018
20,100,matrix,kruskals,2,0.011226415997953154
20,100,list,prims,2,0.0019995000038761646
20,100,list,kruskals,2,0.0037154590027057566
20,100,matrix,prims,3,0.009346459002699703
20,100,matrix,kruskals,3,0.011506292001286056
20,100,list,prims,3,0.0020076660002814606
20,100,list,kruskals,3,0.003900042000168469
20,100,matrix,prims,4,0.009452625003177673
20,100,matrix,kruskals,4,0.011719041998730972
20,100,list,prims,4,0.0020482079999055713
20,100,list,kruskals,4,0.003962875001889188
20,100,matrix,prims,5,0.00948200000129873
20,100,matrix,kruskals,5,0.011755416002415586
20,100,list,prims,5,0.0021137500007171184
20,100,list,kruskals,5,0.0042384999978821725
20,100,matrix,prims,6,0.009754417005751748
20,100,matrix,kruskals,6,0.011345250000886153
20,100,list,prims,6,0.0020026670026709326
20,100,list,kruskals,6,0.0038605830050073564
20,100,matrix,prims,7,0.009401791001437232
20,100,matrix,kruskals,7,0.011715874999936204
20,100,list,prims,7,0.002103165999869816
20,100,list,kruskals,7,0.003943458999856375
20,100,matrix,prims,8,0.009682957999757491
20,100,matrix,kruskals,8,0.011921249999431893
20,100,list,prims,8,0.002158291004889179
20,100,list,kruskals,8,0.004162874996836763
20,100,matrix,prims,9,0.009567166001943406
20,100,matrix,kruskals,9,0.011767333002353553
20,100,list,prims,9,0.0020513330018729903
20,100,list,kruskals,9,0.004100707999896258
50,0,matrix,prims,0,0.3176699999967241
50,0,matrix,kruskals,0,0.34008845900098095
50,0,list,prims,0,0.013677875002031215
50,0,list,kruskals,0,0.014591749997634906
50,0,matrix,prims,1,0.31641291599953547
50,0,matrix,kruskals,1,0.3767829159987741
50,0,list,prims,1,0.013549834002333228
50,0,list,kruskals,1,0.014448209003603552
50,0,matrix,prims,2,0.32368008400226245
50,0,matrix,kruskals,2,0.34090916700370144
50,0,list,prims,2,0.013200708002841566
50,0,list,kruskals,2,0.014601750001020264
50,0,matrix,prims,3,0.32252058399899397
50,0,matrix,kruskals,3,0.3578739169970504
50,0,list,prims,3,0.01664520800113678
50,0,list,kruskals,3,0.017125874997873325
50,0,matrix,prims,4,0.3298434590033139
50,0,matrix,kruskals,4,0.3645175420024316
50,0,list,prims,4,0.027979083999525756
50,0,list,kruskals,4,0.01676062499609543
50,0,matrix,prims,5,0.37058387500292156
50,0,matrix,kruskals,5,0.33869708299607737
50,0,list,prims,5,0.013117125003191177
50,0,list,kruskals,5,0.015744249998533633
50,0,matrix,prims,6,0.33091304199479055
50,0,matrix,kruskals,6,0.38059079099912196
50,0,list,prims,6,0.013578375001088716
50,0,list,kruskals,6,0.014498707998427562
50,0,matrix,prims,7,0.329650457999378
50,0,matrix,kruskals,7,0.37667962499835994
50,0,list,prims,7,0.015453708001587074
50,0,list,kruskals,7,0.017123249999713153
50,0,matrix,prims,8,0.3190100420033559
50,0,matrix,kruskals,8,0.34920216699538287
50,0,list,prims,8,0.026966332996380515
50,0,list,kruskals,8,0.015640999998140614
50,0,matrix,prims,9,0.34546616700390587
50,0,matrix,kruskals,9,0.3356242910012952
50,0,list,prims,9,0.026578375000099186
50,0,list,kruskals,9,0.014969457995903213
50,25,matrix,prims,0,0.32282404199941084
50,25,matrix,kruskals,0,0.3713758330050041
50,25,list,prims,0,0.01605583399941679
50,25,list,kruskals,0,0.021870333002880216
50,25,matrix,prims,1,0.33122375000675675
50,25,matrix,kruskals,1,0.37559779200091725
50,25,list,prims,1,0.015162417003011797
50,25,list,kruskals,1,0.022002290999807883
50,25,matrix,prims,2,0.3251812919988879
50,25,matrix,kruskals,2,0.4128564999991795
50,25,list,prims,2,0.01621841599990148
50,25,list,kruskals,2,0.022177541002747603
50,25,matrix,prims,3,0.326960375001363
50,25,matrix,kruskals,3,0.3419341249973513
50,25,list,prims,3,0.015340833000664134
50,25,list,kruskals,3,0.02140000000508735
50,25,matrix,prims,4,0.3297523340006592
50,25,matrix,kruskals,4,0.3516434169941931
50,25,list,prims,4,0.016198541001358535
50,25,list,kruskals,4,0.021848582997336052
50,25,matrix,prims,5,0.3376612079955521
50,25,matrix,kruskals,5,0.3377199999958975
50,25,list,prims,5,0.014748790999874473
50,25,list,kruskals,5,0.021451124994200654
50,25,matrix,prims,6,0.3347337500017602
50,25,matrix,kruskals,6,0.3421631660021376
50,25,list,prims,6,0.014707124995766208
50,25,list,kruskals,6,0.021884750000026543
50,25,matrix,prims,7,0.32814216700353427
50,25,matrix,kruskals,7,0.3475973749955301
50,25,list,prims,7,0.01650987500033807
50,25,list,kruskals,7,0.022080540999013465
50,25,matrix,prims,8,0.31969904199650045
50,25,matrix,kruskals,8,0.3450245419953717
50,25,list,prims,8,0.027435041003627703
50,25,list,kruskals,8,0.021434124995721504
50,25,matrix,prims,9,0.32961795900337165
50,25,matrix,kruskals,9,0.3664267909989576
50,25,list,prims,9,0.028135499997006264
50,25,list,kruskals,9,0.022277125004620757
50,50,matrix,prims,0,0.3337674159993185
50,50,matrix,kruskals,0,0.36216579099709634
50,50,list,prims,0,0.029677999998966698
50,50,list,kruskals,0,0.02632679200178245
50,50,matrix,prims,1,0.399905584003136
50,50,matrix,kruskals,1,0.3698620830036816
50,50,list,prims,1,0.017180584000016097
50,50,list,kruskals,1,0.026362208001955878
50,50,matrix,prims,2,0.3278310829991824
50,50,matrix,kruskals,2,0.3452594170012162
50,50,list,prims,2,0.029054375001578592
50,50,list,kruskals,2,0.025160500001220498
50,50,matrix,prims,3,0.32813637499930337
50,50,matrix,kruskals,3,0.3506762079996406
50,50,list,prims,3,0.01607095900544664
50,50,list,kruskals,3,0.02599495799950091
50,50,matrix,prims,4,0.3275749170061317
50,50,matrix,kruskals,4,0.35214033399824984
50,50,list,prims,4,0.028556583005411085
50,50,list,kruskals,4,0.025368292001076043
50,50,matrix,prims,5,0.3221385420038132
50,50,matrix,kruskals,5,0.34923916700063273
50,50,list,prims,5,0.016607457997452002
50,50,list,kruskals,5,0.026224499997624662
50,50,matrix,prims,6,0.3341964579958585
50,50,matrix,kruskals,6,0.34736683400115
50,50,list,prims,6,0.028021750003972556
50,50,list,kruskals,6,0.02439520799816819
50,50,matrix,prims,7,0.3304885409961571
50,50,matrix,kruskals,7,0.34435054200002924
50,50,list,prims,7,0.016328166995663196
50,50,list,kruskals,7,0.025884209004289005
50,50,matrix,prims,8,0.3221293329988839
50,50,matrix,kruskals,8,0.421807708000415
50,50,list,prims,8,0.01769087499997113
50,50,list,kruskals,8,0.0271423340018373
50,50,matrix,prims,9,0.3389625830022851
50,50,matrix,kruskals,9,0.3833522909990279
50,50,list,prims,9,0.0203497080001398
50,50,list,kruskals,9,0.029275000000779983
50,75,matrix,prims,0,0.3345491250001942
50,75,matrix,kruskals,0,0.3583109999963199
50,75,list,prims,0,0.02961654199316399
50,75,list,kruskals,0,0.027736416006518994
50,75,matrix,prims,1,0.3275781249976717
50,75,matrix,kruskals,1,0.36615412500395905
50,75,list,prims,1,0.029769415996270254
50,75,list,kruskals,1,0.026292540998838376
50,75,matrix,prims,2,0.3275883340029395
50,75,matrix,kruskals,2,0.3533937500033062
50,75,list,prims,2,0.029543790995376185
50,75,list,kruskals,2,0.027123792002385017
50,75,matrix,prims,3,0.33577108300232794
50,75,matrix,kruskals,3,0.36515870800212724
50,75,list,prims,3,0.01772983300179476
50,75,list,kruskals,3,0.03101783400052227
50,75,matrix,prims,4,0.34525899999425747
50,75,matrix,kruskals,4,0.3588330000056885
50,75,list,prims,4,0.01883250000537373
50,75,list,kruskals,4,0.02914104100636905
50,75,matrix,prims,5,0.3318910419984604
50,75,matrix,kruskals,5,0.34484145800524857
50,75,list,prims,5,0.017117250004957896
50,75,list,kruskals,5,0.026740999994217418
50,75,matrix,prims,6,0.32514412500313483
50,75,matrix,kruskals,6,0.35987612499593524
50,75,list,prims,6,0.016901333998248447
50,75,list,kruskals,6,0.026944500001263805
50,75,matrix,prims,7,0.32758287499746075
50,75,matrix,kruskals,7,0.348577832999581
50,75,list,prims,7,0.01840620800066972
